basevariante,aliment,variante,tva,famille,allergenes
Abondance,Abondance,,-,BOF,
Abricot en dés,Abricot,en dés,-,Fruits_et_légumes,
Abricot dénoyauté,Abricot,dénoyauté,-,Fruits_et_légumes,
Abricot oreillon,Abricot,oreillon,-,Fruits_et_légumes,
Abricot,Abricot,,-,Fruits_et_légumes,
Abricot,Abricot,,-,Fruits_et_légumes,
Abricot sec moelleux,Abricot sec,moelleux,-,Fruits_et_légumes,
Abricot sec,Abricot sec,,-,Fruits_et_légumes,
Abricots au sirop,Abricots au sirop,,-,Epicerie,
Accra de poisson,Accra de poisson,,-,Viandes_Poissons,
Agar-agar,Agar-agar,,-,Epicerie,
Agneau côte seconde,Agneau,côte seconde,-,Viandes_Poissons,
Agneau côtelette,Agneau,côtelette,-,Viandes_Poissons,
Agneau côte première,Agneau,côte première,-,Viandes_Poissons,
Agneau sauté,Agneau,sauté,-,Viandes_Poissons,
Agneau collier,Agneau,collier,-,Viandes_Poissons,
Agneau collier sauté,Agneau,collier sauté,-,Viandes_Poissons,
Agneau côte découverte,Agneau,côte découverte,-,Viandes_Poissons,
Agneau côte,Agneau,côte,-,Viandes_Poissons,
Agneau gigot,Agneau,gigot,-,Viandes_Poissons,
Agneau coeur de gigot,Agneau,coeur de gigot,-,Viandes_Poissons,
Agneau navarin sauté,Agneau,navarin sauté,-,Viandes_Poissons,
Agneau épaule sauté,Agneau,épaule sauté,-,Viandes_Poissons,
Agneau,Agneau,,-,Viandes_Poissons,
Agneau selle,Agneau,selle,-,Viandes_Poissons,
Agneau selle partie maigre,Agneau,selle partie maigre,-,Viandes_Poissons,
Agneau carré,Agneau,carré,-,Viandes_Poissons,
Agneau émincé,Agneau,émincé,-,Viandes_Poissons,
Agneau épaule,Agneau,épaule,-,Viandes_Poissons,
Agneau épaule maigre,Agneau,épaule maigre,-,Viandes_Poissons,
Ail épluché,Ail,épluché,-,Fruits_et_légumes,
Ail en morceaux,Ail,en morceaux,-,Fruits_et_légumes,
Ail,Ail,,-,Fruits_et_légumes,
Ail séché,Ail,séché,-,Fruits_et_légumes,
Ail haché,Ail haché,,-,Fruits_et_légumes,
Ail pulpe séché,Ail pulpe,séché,-,Epicerie,
Aile de raie,Aile de raie,,-,Viandes_Poissons,
Airelles,Airelles,,-,Fruits_et_légumes,
Alcool de riz,Alcool de riz,,-,Epicerie,
Alcool pur,Alcool pur,,-,Epicerie,
Alfalfa,Alfalfa,,-,Fruits_et_légumes,
Aligot,Aligot,,-,Epicerie,
Allumettes de jambon,Allumettes,de jambon,-,Viandes_Poissons,
Allumettes de volaille,Allumettes,de volaille,-,Viandes_Poissons,
Amande effilée,Amande,effilée,-,Epicerie,
Amande en poudre,Amande,en poudre,-,Epicerie,
Amande,Amande,,-,Epicerie,
Amande blanchie,Amande,blanchie,-,Epicerie,
Amande grillée salée,Amande,grillée salée,-,Epicerie,
Amande hachées,Amande,hachées,-,Epicerie,
Amarante,Amarante,,-,Epicerie,
Amidon de maïs,Amidon,de maïs,-,Epicerie,
Amidon de riz,Amidon,de riz,-,Epicerie,
Ananas tranche,Ananas,tranche,-,Fruits_et_légumes,
Ananas en carpaccio,Ananas,en carpaccio,-,Fruits_et_légumes,
Ananas en cubes,Ananas,en cubes,-,Fruits_et_légumes,
Ananas en dés,Ananas,en dés,-,Fruits_et_légumes,
Ananas,Ananas,,-,Fruits_et_légumes,
Ananas en morceaux,Ananas,en morceaux,-,Fruits_et_légumes,
Ananas victoria,Ananas,victoria,-,Fruits_et_légumes,
Ananas au sirop,Ananas au sirop,,-,Epicerie,
Anchois,Anchois,,-,Viandes_Poissons,
Anchois filets à l'huile,Anchois,filets à l'huile,-,Viandes_Poissons,
Anchois au sel,Anchois,au sel,-,Viandes_Poissons,
