origines,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
Guadeloupe,guadeloupe,,,,,,,,,,,,
Martinique,martinique,,,,,,,,,,,,
Guyane,guyane,,,,,,,,,,,,
La Réunion,la réunion,reunion,,,,,,,,,,,
Mayotte,mayotte,,,,,,,,,,,,
Île-de-France,île-de-france,ile de france,idf,,,,,,,,,,
Centre-Val de Loire,centre-val de loire,centre val de loire,,,,,,,,,,,
Bourgogne-Franche-Comté,bourgogne-franche-comté,bourgogne franche comte,,,,,,,,,,,
Normandie,normandie,normande,,,,,,,,,,,
Hauts-de-France,hauts-de-france,hauts de france,,,,,,,,,,,
Grand Est,grand est,,,,,,,,,,,,
Pays de la Loire,pays de la loire,pays de la loire,,,,,,,,,,,
Bretagne,bretagne,breton,,,,,,,,,,,
Nouvelle-Aquitaine,nouvelle-aquitaine,nouvelle aquitaine,,,,,,,,,,,
Occitanie,occitanie,,,,,,,,,,,,
Auvergne-Rhône-Alpes,auvergne-rhône-alpes,auvergne rhone alpes,,,,,,,,,,,
Provence-Alpes-Côte d'Azur,provence-alpes-côte d'azur,provence alpes cote dazur,,,,,,,,,,,
Corse,corse,,,,,,,,,,,,
Collectivités d'Outre-Mer,collectivités d'outre-mer,collectivites doutre mer,,,,,,,,,,,
Afghanistan,afghanistan,,,,,,,,,,,,
Afrique du Sud,afrique du sud,afrique du sud,,,,,,,,,,,
Albanie,albanie,,,,,,,,,,,,
Algérie,algérie,algerie,algerian,,,,,,,,,,
Allemagne,allemagne,,,,,,,,,,,,
Andorre,andorre,,,,,,,,,,,,
Angola,angola,,,,,,,,,,,,
Antigua-et-Barbuda,antigua-et-barbuda,barbuda,,,,,,,,,,,
Arabie saoudite,arabie saoudite,,,,,,,,,,,,
Arménie,arménie,armenie,,,,,,,,,,,
Australie,australie,,,,,,,,,,,,
Autriche,autriche,autrichien,,,,,,,,,,,
Azerbaïdjan,azerbaïdjan,azerbaidjan,,,,,,,,,,,
Bahamas,bahamas,bs,,,,,,,,,,,
Bahreïn,bahreïn,bahrein,,,,,,,,,,,
Bangladesh,bangladesh,bd,,,,,,,,,,,
Barbade,barbade,bb,,,,,,,,,,,
Belgique,belgique,belg,belge,be,,,,,,,,,
Bélize,bélize,belize,,,,,,,,,,,
Bénin,bénin,benin,,,,,,,,,,,
Bhoutan,bhoutan,,,,,,,,,,,,
Biélorussie,biélorussie,bielorussie,,,,,,,,,,,
Birmanie,birmanie,,,,,,,,,,,,
Bolivie,bolivie,,,,,,,,,,,,
Bosnie-Herzégovine,bosnie-herzégovine,bosnie herzegovine,,,,,,,,,,,
Botswana,botswana,,,,,,,,,,,,
Brésil,brésil,bresil,br,,,,,,,,,,
Brunei,brunei,,,,,,,,,,,,
Bulgarie,bulgarie,,,,,,,,,,,,
Burkina,burkina,,,,,,,,,,,,
Burundi,burundi,,,,,,,,,,,,
Cambodge,cambodge,cambodia,,,,,,,,,,,
Cameroun,cameroun,cm,,,,,,,,,,,
Canada,canada,ca,,,,,,,,,,,
Cap-Vert,cap-vert,cap vert,,,,,,,,,,,
Centrafrique,centrafrique,,,,,,,,,,,,
Chili,chili,,,,,,,,,,,,
Chine,chine,,,,,,,,,,,,
Chypre,chypre,,,,,,,,,,,,
Colombie,colombie,,,,,,,,,,,,
Comores,comores,,,,,,,,,,,,
Congo,congo,,,,,,,,,,,,
République démocratique du Congo,congo,congo,,,,,,,,,,,
Îles Cook,îles cook,iles cook,,,,,,,,,,,
Corée du Nord,corée du nord,coree du nord,,,,,,,,,,,
Corée du Sud,corée du sud,coree du sud,,,,,,,,,,,
Costa Rica,costa rica,cr,,,,,,,,,,,
Côte d'Ivoire,côte d'ivoire,cote divoire,,,,,,,,,,,
Croatie,croatie,,,,,,,,,,,,
Cuba,cuba,,,,,,,,,,,,
Danemark,danemark,,,,,,,,,,,,
Djibouti,djibouti,,,,,,,,,,,,
République dominicaine,république dominicaine,republique dominicaine,do,,,,,,,,,,
Dominique,dominique,,,,,,,,,,,,
Égypte,égypte,egypte,eg,,,,,,,,,,
Émirats arabes unis,émirats arabes unis,emirats arabes unis,,,,,,,,,,,
Équateur,équateur,equateur,,,,,,,,,,,
Érythrée,érythrée,erythree,,,,,,,,,,,
Espagne,espagne,es,esp,espagn,,,,,,,,,
Estonie,estonie,,,,,,,,,,,,
Eswatini,eswatini,,,,,,,,,,,,
États-Unis,états-unis,usa,,,,,,,,,,,
Éthiopie,éthiopie,,,,,,,,,,,,
Fidji,fidji,,,,,,,,,,,,
Finlande,finlande,,,,,,,,,,,,
France,france,fr,français,française,vbf,vpf,vf,lpf,fra,fran,reg,regional,régional
Gabon,gabon,,,,,,,,,,,,
Gambie,gambie,,,,,,,,,,,,
Géorgie,géorgie,,,,,,,,,,,,
Ghana,ghana,gh,,,,,,,,,,,
Grèce,grèce,grece,,,,,,,,,,,
Guatémala,guatémala,,,,,,,,,,,,
Guinée,guinée,,,,,,,,,,,,
Guinée équatoriale,guinée équatoriale,,,,,,,,,,,,
Guinée-Bissao,guinée-bissao,,,,,,,,,,,,
Guyana,guyana,,,,,,,,,,,,
Haïti,haïti,,,,,,,,,,,,
Honduras,honduras,,,,,,,,,,,,
Hongrie,hongrie,,,,,,,,,,,,
Inde,inde,,,,,,,,,,,,
Indonésie,indonésie,indonesian,,,,,,,,,,,
Irak,irak,irakian,,,,,,,,,,,
Iran,iran,,,,,,,,,,,,
Irlande,irlande,irlandais,,,,,,,,,,,
